N. Tomba,Bibliografia essenziale
436,"Negrioli 1927, p. 126; Aurigemma 1965, pp. 7-8, tav. 4; Romagnoli 2015"
437,Pozzi 2011; Trevisanello 2024
438,"Romagnoli 2015; Serra 2025, p. 236"
439,Romagnoli 2015
440,Romagnoli 2015
441,Romagnoli 2015
442,Romagnoli 2015
443,"Baldoni 1981, p. 177, n. 152; Romagnoli 2015"
444,Romagnoli 2015
445,Romagnoli 2015
446,"Berti, Guzzo 1993, pp. 269-271; Romagnoli 2015"
447,"Romagnoli 2015; Serra 2025, p. 237"
448,"Berti, Guzzo 1993, pp. 268-269; Romagnoli 2015"
449,Romagnoli 2015
450,Romagnoli 2015
451,Romagnoli 2015
452,Romagnoli 2015
453,"Romagnoli 2015; Serra 2025, p. 237"
454,Pozzi 2011; Trevisanello 2024
455,"Romagnoli 2015; Serra 2025, p. 237"
456.1,"Negrioli 1927, pp. 188-189; Romagnoli 2015"
456.2,"Negrioli 1927, pp. 188-189; Romagnoli 2015; Serra 2025, p. 237"
457.1,"Negrioli 1927, pp. 188-189; Aurigemma 1965, p. 40; Romagnoli 2015"
457.2,"Negrioli 1927, pp. 188-189; Aurigemma 1965, p. 40; Romagnoli 2015; Serra 2025, p. 237"
458,Romagnoli 2015
459.1,Timossi 2019
459.2,Timossi 2019
460,Timossi 2019
461,Trevisanello 2024
462,Trevisanello 2024
463,Trevisanello 2016-2017
464,Trevisanello 2016-2017
465,"Romagnoli 2015; Serra 2022; Serra 2025, p. 237"
466,"Trevisanello 2024; Trevisanello in Spina 2022, p. 124"
467,"Romagnoli 2015; Romagnoli in Spina 2023, p. 91"
468,Romagnoli 2015
469,Romagnoli 2015
470,"Romagnoli 2015; Serra 2025, p. 237"
471,Romagnoli 2015
472,Romagnoli 2015
473,Romagnoli 2015
474,Pozzi 2011; Trevisanello 2024
475,Romagnoli 2015
476,Romagnoli 2015
477,Trevisanello 2024
478,"Romagnoli 2015; Serra 2022; Serra 2025, p. 237"
479,Trevisanello 2024
480,"Romagnoli 2015; Serra 2025, p. 237"
481,Romagnoli 2015
482,"Romagnoli 2015; Serra 2025, p. 232"
483,Romagnoli 2015
484,"Romagnoli 2015; Serra 2025, p. 238"
485,"Aurigemma 1965, pp. 138-139; Berti 1983, p. 55; Berti, Guzzo 1993, pp. 64-66, fig. 51; Parmeggiani 1987, pp. 196-200, figg. 139-141; Pozzi 2011; Trevisanello in Spina 2022, pp. 66-67; Trevisanello 2024"
486,Romagnoli 2015
487,Romagnoli 2015
488,"Camerin 1993a, pp. 267-269; Romagnoli 2015; Romagnoli in Spina 2023, pp. 92-93"
489,Romagnoli 2015
490,"Romagnoli 2015; Serra 2025, p. 246"
491,Romagnoli 2015
492,Romagnoli 2015
493,Pozzi 2011; Trevisanello 2024
494,"Massei 1978, pp. 102-104, n. 67, tavv. XXV, 2, XXVI, 1; Pozzi 2011; Trevisanello 2024"
495,"Romagnoli 2015; Serra 2025, p. 238"
496,Romagnoli 2015
497,Romagnoli 2015
498,Romagnoli 2015
499,"Romagnoli 2015; Romagnoli in Spina 2023, p. 424"
500,Romagnoli 2015
501,Romagnoli 2015
502,"Romagnoli 2015; Serra 2025, p. 238"
503,Romagnoli 2015
504,"Romagnoli 2015; Serra 2025, p. 238"
505,Romagnoli 2015
506.1,Baldoni 1981; p. 87; n. 26; Romagnoli 2015
506.2,Baldoni 1981; p. 87; n. 26; Romagnoli 2015
507.1,Romagnoli 2015
507.2,Romagnoli 2015
508,Romagnoli 2015
509,Romagnoli 2015
510,Romagnoli 2015
511,Romagnoli 2015
512,"Aurigemma 1960, pp. 124-129; Berti 1983, pp. 112-113; Guzzo 1993, p. 102, 109, figg. 82, 89, 90; Camerin 1993b, p. 339-340; Timossi 2019"
513,Romagnoli 2015
514,"Pozzi 2011; Hostetter 2001, p. 95, n. 241; Trevisanello 2024"
515,Romagnoli 2015
516,Romagnoli 2015
517,Romagnoli 2015
518,Romagnoli 2015
519,Romagnoli 2015
520,Romagnoli 2015
521,Romagnoli 2015
522,Romagnoli 2015
523,Pozzi 2011; Trevisanello 2024
524,Romagnoli 2015
525,Romagnoli 2015
526,Romagnoli 2015
527,Romagnoli 2015
528,"Arias-Alfieri 1955, p. 27; Alfieri, Arias 1960, p. 84; Romagnoli 2015; Serra 2025, p. 238"
529,Romagnoli 2015
530,Romagnoli 2015
531,Romagnoli 2015
532,Romagnoli 2015
533,Romagnoli 2015
534,Romagnoli 2015
535,Romagnoli 2015
536,Romagnoli 2015
537,Romagnoli 2015
538,Romagnoli 2015
539,Romagnoli 2015
540,Romagnoli 2015
541,Romagnoli 2015
542,Romagnoli 2015
543,"Romagnoli 2015; Serra 2025, p. 238"
544,Romagnoli 2015
545,"Baldoni 1993, p. 116, fig. 4; Hostetter 1986, pp. 105-106, n. 78; Pozzi 2011; Trevisanello 2024"
546,"Romagnoli 2015; Serra 2025, p. 238"
547,Romagnoli 2015
548,Romagnoli 2015
549,Romagnoli 2015
550,"Romagnoli 2015; Serra 2025, p. 238"
551,Romagnoli 2015
552,"Romagnoli 2015Romagnoli in Spina 2023, p. 439"
553,Romagnoli 2015
554,Romagnoli 2015
555,Romagnoli 2015
556,Romagnoli 2015
557,Romagnoli 2015
558,"BERTI 1993, p. 41 - 42; Pozzi 2011; Timossi 2019"
559,Timossi 2019
560,"BERTI 1993, p. 41; Timossi 2019"
561,Timossi 2019
562,Pozzi 2011; Timossi 2019
563,Timossi 2019
